_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
獅頭山風景區(新竹地區),3418267,3512098,2.74,1875103,-46.61,1839980,-1.87,1795583,-2.41
瑞芳風景特定區,5124500,2904000,-43.33,1910000,-34.23,3074000,60.94,3929731,27.84
義大世界,843743,902345,6.95,513871,-43.05,3960394,670.7,4844718,22.33
萬和宮,306180,290053,-5.27,236397,-18.5,230220,-2.61,249030,8.17
萬瑞森林樂園,32389,34768,7.35,25821,-25.73,25563,-1,50872,99.01
達娜伊谷,337620,114677,-66.03,78394,-31.64,86790,10.71,78219,-9.88
頑皮世界,170987,380939,122.79,315679,-17.13,482425,52.82,445314,-7.69
壽山動物園,660658,612321,-7.32,303476,-50.44,90282,-70.25,1273336,1310.4
彰化孔子廟,27128,23352,-13.92,16110,-31.01,22335,38.64,36687,64.26
旗津風景區,6709979,3354170,-50.01,2721691,-18.86,5977365,119.62,5257541,-12.04
滬尾?臺,80945,52563,-35.06,36689,-30.2,47327,29,75302,59.11
滿月圓國家森林遊樂區,215762,321221,48.88,201139,-37.38,213044,5.92,226767,6.44
碧潭風景特定區,2191200,1386000,-36.75,1091900,-21.22,2137690,95.78,2396674,12.12
福壽山農場,262080,302946,15.59,255290,-15.73,273846,7.27,263283,-3.86
綠世界休閒農場,413580,358910,-13.22,365490,1.83,383505,4.93,457260,19.23
綠島,347465,355036,2.18,155378,-56.24,319294,105.49,304804,-4.54
翡翠灣濱海遊憩區,162295,25540,-84.26,14059,-44.95,27297,94.16,73967,170.97
臺八線沿線景觀區,3755760,3201902,-14.75,1905431,-40.49,1958862,2.8,2047456,4.52
臺中公園,2864177,2648677,-7.52,2328081,-12.1,1682351,-27.74,2379672,41.45
臺中國家歌劇院,1467520,997502,-32.03,732590,-26.56,942927,28.71,819576,-13.08
臺中都會公園,408696,485693,18.84,457867,-5.73,451919,-1.3,397887,-11.96
臺北市孔廟,445313,288921,-35.12,237990,-17.63,237902,-0.04,365971,53.83
臺北市立天文科學教育館,879486,618336,-29.69,389821,-36.96,671590,72.28,1098409,63.55
臺北市立兒童新樂園,2052414,1459733,-28.88,910749,-37.61,1266642,39.08,1981118,56.41
臺北市立美術館,520889,478157,-8.2,348594,-27.1,384712,10.36,603499,56.87
臺北市立動物園,3434650,2306123,-32.86,1772753,-23.13,1910344,7.76,3034877,58.87
臺北自來水園區,1346027,1429676,6.21,476364,-66.68,320864,-32.64,552406,72.16
臺灣客家文化館,821033,665913,-18.89,418614,-37.14,490864,17.26,603968,23.04
臺灣玻璃館,785690,815993,3.86,579055,-29.04,296163,-48.85,424626,43.38
臺灣原住民文化園區,386345,191080,-50.54,153488,-19.67,205433,33.84,207599,1.05
遠雄海洋公園,517936,759181,46.58,411945,-45.74,760095,84.51,715942,-5.81
駁二藝術特區,4231454,3639766,-13.98,2906842,-20.14,6244698,114.83,4904620,-21.46
鼻頭龍洞遊憩區,287398,315477,9.77,170808,-45.86,216328,26.65,262004,21.11
劍湖山世界,1001523,784545,-21.66,547007,-30.28,827702,51.31,970789,17.29
慶修院,215226,337964,57.03,200287,-40.74,261402,30.51,285825,9.34
澄清湖,1324487,1353948,2.22,1138312,-15.93,1594544,40.08,1675571,5.08
蓮池潭,5400300,2646382,-51,1156970,-56.28,1890911,63.44,4192789,121.73
墾丁海水浴場,249635,247542,-0.84,179159,-27.62,222652,24.28,309494,39
墾丁國家公園管理處遊客中心,76124,38719,-49.14,25822,-33.31,21796,-15.59,14634,-32.86
墾丁國家森林遊樂區,146217,148825,1.78,131075,-11.93,176536,34.68,178513,1.12
親不知子天空步道,0,468086,0,209028,-55.34,172688,-17.39,140513,-18.63
貓鼻頭公園,737676,159080,-78.43,124240,-21.9,139254,12.08,177076,27.16
龍鳳谷遊憩區,713766,455106,-36.24,520305,14.33,551710,6.04,382363,-30.69
龍潭湖,405540,502621,23.94,191630,-61.87,131541,-31.36,146421,11.31
龍鑾潭自然中心,95567,63726,-33.32,56461,-11.4,54115,-4.16,52177,-3.58
擎天崗,609928,538097,-11.78,328122,-39.02,393558,19.94,672292,70.82
禮納里部落,31969,49444,54.66,43412,-12.2,55403,27.62,100983,82.27
雙流國家森林遊樂區,91245,155039,69.92,121287,-21.77,157911,30.2,145740,-7.71
鯉魚潭風景特定區,1086135,1225429,12.82,868007,-29.17,1157351,33.33,1268914,9.64
鵝鑾鼻公園,786283,377105,-52.04,283182,-24.91,319816,12.94,366555,14.61
關子嶺溫泉區,1180373,964632,-18.28,1068872,10.81,1788430,67.32,1034309,-42.17
關山親水公園,77880,74953,-3.76,73395,-2.08,30384,-58.6,70015,130.43
關渡自然公園,121554,116559,-4.11,73705,-36.77,91346,23.93,108752,19.06
霧峰林家園區,167643,174881,4.32,162157,-7.28,178613,10.15,154382,-13.57
霧臺遊憩區,222343,260706,17.25,188862,-27.56,184504,-2.31,244812,32.69
麗寶樂園渡假村,5094703,7048938,38.36,4955970,-29.69,5653075,14.07,5873786,3.9
寶來、不老溫泉區,262382,329564,25.6,348527,5.75,481086,38.03,539353,12.11
觸口遊客中心,86323,59490,-31.08,47154,-20.74,45370,-3.78,48120,6.06
蘭陽博物園區,717720,636783,-11.28,478662,-24.83,390665,-18.38,557592,42.73
蘭潭,1444919,1323062,-8.43,1209914,-8.55,1439930,19.01,1609215,11.76
蘭嶼,127087,147497,16.06,79183,-46.32,159511,101.45,156383,-1.96
鐵砧山,468921,662586,41.3,337523,-49.06,250950,-25.65,351532,40.08
鶯歌老街,912517,924229,1.28,835337,-9.62,675338,-19.15,995863,47.46
鹽寮福隆遊憩區,2070681,1093825,-47.18,441796,-59.61,417243,-5.56,585054,40.22
觀音山,1030272,995980,-3.33,715051,-28.21,984052,37.62,1235285,25.53
觀霧遊客中心,114125,108171,-5.22,95926,-11.32,117081,22.05,110691,-5.46
